"?필수?교양?교과목(광운인되기,영어)?강의시간표",,,,,,,,,
2024학년도 2학기,,,,,,,,,
0000-1-4099-01,사진편집기술,,,교선,3,3,하마처,목4,"영어100,원격수업50이상"
0000-1-4099-02,사진편집기술,,,교선,3,3,임준영,"금3,4",
0000-1-7461-01,상상공학과표현,,,교선,3,3,김형국,"월4,수3",영어50?
0000-1-7461-02,상상공학과표현,,,교선,3,3,김형국,"월5,수6",영어50?
0000-1-5674-01,생활속의과학,,,교선,3,3,김충혁,,원격수업100?
0000-1-5674-02,생활속의과학,,,교선,3,3,김상목,"월6,수5",
0000-1-9885-01,생활속의생명과학,,,교선,3,3,박봉주,"금1,2",영어50?
0000-1-4101-01,인공지능의이해,,,교선,3,3,조수영,,원격수업100?
0000-1-4101-02,인공지능의이해,참빛인재대학 전용,,교선,3,3,함건희,"토1,2",
0000-1-1640-01,컴퓨터개론,재수강용,,교선,3,3,스레스터바누,"금1,2",
0000-1-3293-01,컴퓨터활용,외국인만 수강가능,,교선,3,3,이롤랜드,"화6,목5","영어70,외국인전용"
0000-1-4125-01,파이썬프로그래밍기초,,,교선,3,3,이강성,"월2,수1",
0000-1-4125-02,파이썬프로그래밍기초,,,교선,3,3,이강성,"월1,수2",
0000-2-6019-01,공학교양심화세미나,2~4학년 수강대상,,교선,3,3,양재규,"화5,6","소규모강의,세미나강의"
2024학년도 2학기,,,,,,,,,
학정번호,과목명,분반,연계,이수,학점,시수,담당교수,"강의시간 (요일,교시)",강의유형
0000-2-6957-01,디지털사운드제작,,,교선,3,3,고병량,"화3,목4",
0000-2-6957-02,디지털사운드제작,,,교선,3,3,홍민의,"화4,목3",
0000-2-3298-01,모바일프로그래밍기초,,,교선,3,3,정영희,"월3,수4",
0000-2-9251-01,신기술과미래사회,,,교선,3,3,김충혁,"월4,수3",
0000-2-9251-02,신기술과미래사회,참빛인재대학 전용,,교선,3,3,원일석,"토3,4",
0000-2-3029-01,인터넷활용,,,교선,3,3,,"금5,6",
0000-2-3029-02,인터넷활용,,,교선,3,3,유소율,"금3,4",
0000-2-3029-03,인터넷활용,,,교선,3,3,문석재,"금1,2",
0000-2-2991-01,자연과학사,,,교선,3,3,박봉주,"금3,4",영어50?
0000-2-2991-02,자연과학사,,,교선,3,3,박경순,"월4,수3",
0000-2-2994-01,환경과생태,,,교선,3,3,김동수,"월3,수4",
0000-3-5765-01,미디어아트,,,교선,3,3,이상민,"월4,수3",
0000-3-2997-01,산업화와환경오염,,,교선,3,3,황윤성,"금3,4",
0000-3-2997-02,산업화와환경오염,,,교선,3,3,코두루,"화4,목3",영어100?
0000-4-7462-01,예술과과학의융합,,,교선,3,3,신수연,수4,원격수업50이상
"* 학과가 지정된 교과목은 해당학과 학생들(다전공생 포함) 수강대상임.
* 참빛인재대학 전용 과목은 재직자전형 대상 분반임.
* 한 교양영역에서는 같은 난이도(학정번호 5번째 자리)의 수업을 2개 이상 신청할 수 없음.(난이도당 1과목만 가능)",,,,,,,,,
?교양?교과목?강의시간표?-?인간과철학?영역,,,,,,,,,
2024학년도 2학기,,,,,,,,,
학정번호,과목명,분반,연계,이수,학점,시수,담당교수,"강의시간 (요일,교시)",강의유형
0000-1-5899-01,과학기술윤리,,,교선,3,3,이재유,"금3,4",
