Unnamed: 0,학정번호,과목명,분반,수강가능한 학과,다전공생 수강불가,학년,연계,이수,학점,시수,담당교수,강의시간,강의유형,외국인재학생,국내재학생,선수과목,전공 인정 학과 ,참빛인재대학,체육특기자,기타
114,F000-1-4432-02,인공지능과컴퓨팅사고,"행정,국제 (S2,S3)","S2,S3",,,Null,교필,3,3,윤대열,"(5:5),(5:6)",Null,,,,,,,
115,F000-1-4432-03,인공지능과컴퓨팅사고,법(L1~L3),"L1,L2,L3",,,Null,교필,3,3,스레스터바누,"(2:4),(4:3)",Null,,,,,,,
116,F000-1-4432-04,인공지능과컴퓨팅사고,법(L1~L3),"L1,L2,L3",,,Null,교필,3,3,김지명,"(2:5),(4:6)",Null,,,,,,,
117,F000-1-4432-05,인공지능과컴퓨팅사고,법(L1~L3),"L1,L2,L3",,,Null,교필,3,3,박세영,"(5:1),(5:2)",Null,,,,,,,
118,5000-1-4432-01,인공지능과컴퓨팅사고,경영(B1),B1,,,Null,교필,3,3,문만기,"(1:4),(3:3)",Null,,,,,,,
119,5000-1-4432-02,인공지능과컴퓨팅사고,경영(B2),B2,,,Null,교필,3,3,Null,"(1:5),(3:6)",Null,,,,,,,
120,5000-1-4432-03,인공지능과컴퓨팅사고,경영(B3),B3,,,Null,교필,3,3,손광철,"(1:6),(3:5)",Null,,,,,,,
121,5000-1-4432-04,인공지능과컴퓨팅사고,"경영,국통 (B4,B6)","B4,B6",,,Null,교필,3,3,정태원,"(2:1),(4:2)",Null,,,,,,,
122,5000-1-4432-05,인공지능과컴퓨팅사고,국통(B5),B5,,,Null,교필,3,3,정태원,"(2:2),(4:1)",Null,,,,,,,
123,0000-1-4929-01,경영과컴퓨터,경영(B1~B4),"B1,B2,B3,B4",,,Null,교선,3,3,서상구,"(1:3),(3:4)",Null,,,,,,,
124,0000-1-3403-01,고급프로그래밍,로봇 2학년 택 1,"J5,J6,J7,J8",,2,Null,교선,3,3,정문호,"(2:6),(4:5)",Null,,,,,,,
125,0000-2-3679-01,자바프로그래밍,로봇 2학년 택 1,"J5,J6,J7,J8",,2,Null,교선,3,3,문석재,"(1:6),(3:5)",Null,,,,,,,
